# id,x,y,z,varphi1 [rad],phi [rad],varphi2 [rad],volume [um^3]
2.581000000000000000e+03,1.319620707549078009e+00,-2.134710654498310589e+01,2.964035240828727780e+01,2.364184806999999999e+00,8.030699999999999505e-01,6.448180672000000113e-01,7.338410797786677620e+01
2.590000000000000000e+03,-1.196684017248127319e+01,-6.672308204330905212e+00,2.888192738961235406e+01,-1.357833902000000093e+00,5.714390000000000303e-01,-2.469383226000000153e+00,1.437490455179916466e+02
2.593000000000000000e+03,-1.247383498270301772e+01,-2.010209776591327113e+01,2.567878967376026722e+01,-1.994687147000000049e+00,3.699180000000000246e-01,-8.452249116000000173e-01,1.576209737912831201e+02
2.598000000000000000e+03,-5.618402020082829296e+00,1.266052678904141793e+01,3.134096395339182095e+01,-3.063988156999999934e-01,9.385489999999999666e-01,-2.258443296999999905e+00,2.795671716404334717e+01
2.599000000000000000e+03,5.608022681185430791e+00,-4.527225500236045086e+00,2.810556260371043891e+01,2.200332330000000169e+00,8.072289999999999743e-01,5.747246247999999724e-01,2.022035985403840357e+02
2.612000000000000000e+03,1.948655662068505734e+01,-7.258631763609005638e+00,3.383472507738657242e+01,2.055198143000000144e+00,4.312940000000000107e-01,1.065578678000000057e+00,1.097579219810266160e+01
2.614000000000000000e+03,5.674091110075051070e+00,5.043230519399219958e+00,2.602323629134276572e+01,-2.134010513000000220e+00,8.576629999999999532e-01,-9.151773782000000024e-01,9.534788571696040549e+01
2.618000000000000000e+03,6.898199632778355017e+00,1.594974085443043421e+01,2.585875589234314376e+01,-5.927241194000000268e-01,1.060179999999999900e+00,-2.146937577000000097e+00,1.033921154233519601e+00
2.619000000000000000e+03,-1.046074091243761828e+01,1.567642604926142802e+01,2.511274849147806165e+01,-1.704028713000000028e+00,5.958449999999999580e-01,-2.216502429000000163e+00,5.225611614498812685e+01
2.637000000000000000e+03,1.091563449511280481e+01,4.544563470137338967e+00,2.620795659445066761e+01,7.875310532000000530e-01,8.599940000000000362e-01,2.347069391999999866e+00,3.107163880166146086e+01
2.645000000000000000e+03,1.311745602563377577e+00,6.800910199823249513e+00,2.959123496805097986e+01,2.322913771000000072e+00,6.617279999999999829e-01,8.973461353999999668e-01,1.865374822023601098e+02
2.646000000000000000e+03,-3.825315987908801674e+00,-1.817599842903943852e+01,2.625948262255725041e+01,-1.083113665000000059e-01,5.204370000000000385e-01,2.788996967000000105e+00,1.795375002247438658e+02
2.650000000000000000e+03,-2.474163525919685469e+00,1.541818120699621275e+01,3.633742341310806978e+01,2.629293452999999836e+00,7.981169999999999654e-01,9.375406074000000034e-01,1.750058602422760146e+01
2.654000000000000000e+03,4.540644056180091148e+00,-1.127824515885614964e+01,2.739048077336942200e+01,-5.126417156999999447e-01,7.236580000000000235e-01,-2.598190693999999912e+00,1.338300967145390530e+02
2.667000000000000000e+03,2.566096480865410978e+00,-1.477777478748063800e+01,3.302633434000544099e+01,-2.088375531000000063e+00,7.084939999999999571e-01,-8.127198222000000527e-01,5.522157087893205585e+01
2.684000000000000000e+03,-9.014680133968681730e+00,-2.159016141034196679e+01,2.949334084314767779e+01,-2.057083812999999928e-01,8.416379999999999972e-01,-2.440013512999999801e+00,2.837732658667646035e+01
2.692000000000000000e+03,4.583929283732785187e+00,1.493799589612228651e+01,3.063541360312965978e+01,2.941305309000000090e+00,6.711089999999999556e-01,6.962439003999999487e-01,1.200853454282197816e+02
2.698000000000000000e+03,-1.267185979865635659e+01,1.986652792415285518e+01,2.790710512757785011e+01,-1.925149964999999908e+00,8.131680000000000019e-01,-6.381056401000000378e-01,2.993208376926135728e+00
2.702000000000000000e+03,5.004064773308309455e+00,1.744671001861190263e+01,2.569067681914129864e+01,-3.109145697999999847e+00,4.602269999999999972e-01,-7.955688797000000090e-01,1.615918271640418524e+01
